class_index,class,height ,width,scale by ,what is,symtoms ,medicine,field1,field2,field3,field4
10,cucumber,300,300,1,"Cucumbers are crisp, refreshing vegetables prized for their mild flavor and high water content. With their vibrant green skin and crunchy texture, cucumbers are commonly enjoyed fresh in salads, sandwiches, and as a crunchy snack. They add a cool and hydrating element to dishes and are often paired with herbs, dressings, and other vegetables for a refreshing taste.",Calories: 16,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 4 grams,Sugar: 2 grams,Fiber: 1 gram
11,eggplant,300,300,1,"Eggplant, also known as aubergine, is a versatile vegetable with a rich, meaty texture and a slightly bitter taste. It comes in various shapes and colors, ranging from deep purple to white. Eggplant is widely used in cooking, especially in Mediterranean and Asian cuisines, where it is grilled, roasted, fried, or baked to bring out its unique flavor and texture. It absorbs flavors well and pairs excellently with herbs, spices, and sauces.",Calories: 20,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 5 grams,Sugar: 3 grams,Fiber: 3 grams
12,garlic,300,300,1,"Garlic is a pungent bulb widely used as a flavoring agent in various cuisines around the world. Known for its distinct aroma and spicy taste, garlic adds depth and complexity to dishes when used either raw or cooked. It can be minced, crushed, or sliced to release its intense flavor, enhancing soups, sauces, stir-fries, and marinades. Additionally, garlic is valued for its potential health benefits, including immune-boosting properties and potential cardiovascular benefits.",Calories: 4,Fat: 0 grams,Protein: 0 grams,Carbohydrates: 1 gram,Sugar: 0 grams,Fiber: 0 grams
13,ginger,300,300,1,"Ginger is a fragrant rhizome with a spicy, slightly sweet flavor commonly used in both culinary and medicinal applications. It adds warmth and depth to dishes, ranging from savory stir-fries and curries to sweet desserts and beverages. Ginger can be used fresh, dried, or in powdered form, lending its distinctive taste and aroma to a wide array of recipes. Beyond its culinary uses, ginger is also prized for its potential health benefits, including aiding digestion, reducing nausea, and alleviating inflammation.",Calories: 80,Fat: 0 grams,Protein: 2 grams,Carbohydrates: 18 grams,Sugar: 1 gram,Fiber: 2 grams
14,grapes,300,300,1,"Grapes are small, juicy fruits that grow in clusters on woody vines. Available in a variety of colors, including red, green, and purple, grapes are prized for their sweet and tart flavor profile. They are commonly enjoyed fresh as a snack or incorporated into a wide range of dishes, including salads, desserts, and beverages like wine and juice. Grapes are also rich in antioxidants and other nutrients, making them a healthy addition to a balanced diet.",Calories: 69,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 18 grams,Sugar: 15 grams,Fiber: 1 gram
15,jalepeno,300,300,1,"Jalapeños are small to medium-sized chili peppers known for their spicy flavor and bright green color, although they can also ripen to red or yellow. These peppers are widely used in Mexican and Tex-Mex cuisine to add heat and flavor to dishes such as salsas, sauces, and spicy entrees. Jalapeños can be enjoyed raw, roasted, grilled, or pickled, offering versatility in culinary applications.",Calories: 4,Fat: 0 grams,Protein: 0 grams,Carbohydrates: 1 gram,Sugar: 0 grams,Fiber: 0 grams
16,Kiwi,300,300,1,"Kiwi, also known as kiwifruit or Chinese gooseberry, is a small, oval-shaped fruit with fuzzy brown skin and vibrant green flesh speckled with tiny black seeds. It has a unique sweet and tangy flavor profile, making it a popular addition to fruit salads, smoothies, desserts, and savory dishes. Kiwi is prized for its high vitamin C content and dietary fiber, contributing to its reputation as a nutritious and delicious fruit.",Calories: 42,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 10 grams,Sugar: 6 grams,Fiber: 2 grams
17,lemon,300,300,1,"Lemon is a citrus fruit prized for its bright yellow color, tart flavor, and aromatic zest. It is commonly used as both a flavoring agent and a garnish in a wide variety of dishes and beverages, including savory dishes, desserts, cocktails, and teas. Lemons are also rich in vitamin C and antioxidants, making them a popular choice for adding flavor and nutritional value to recipes.",Calories: 17,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 5 grams,Sugar: 1 gram,Fiber: 2 grams
18,lettuce,300,300,1,"Lettuce is a leafy vegetable commonly used as the base for salads and sandwiches. It comes in various types, including iceberg, romaine, and leaf lettuce, each with its own texture and flavor profile. Lettuce is prized for its crispness and refreshing taste, providing a light and crunchy element to dishes. It is also low in calories and rich in vitamins and minerals, making it a healthy choice for adding volume and nutrition to meals.",Calories: 5,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 1 gram,Sugar: 0 grams,Fiber: 1 gram
19,mango,300,300,1,"Mango is a tropical fruit renowned for its juicy flesh, sweet flavor, and distinct aroma. It has a smooth, colorful skin ranging from green to yellow, orange, or red, depending on the variety. Mangoes are commonly eaten fresh, sliced, or blended into smoothies and desserts. They can also be used in savory dishes such as salads, salsas, and curries. Mangoes are rich in vitamins, minerals, and antioxidants, making them a nutritious addition to a balanced diet.",Calories: 60,Fat: 0.4 grams,Protein: 0.8 grams,Carbohydrates: 15 grams,Sugar: 14 grams,Fiber: 1.6 grams
20,onion,300,300,1,"Onion is a bulbous vegetable with layers of papery skin and a pungent aroma. It comes in various colors, including white, yellow, and red, each with its own flavor intensity. Onions are a staple ingredient in many cuisines worldwide, adding depth and flavor to a wide range of dishes, including soups, stews, stir-fries, and salads. They can be enjoyed raw, caramelized, sautéed, or pickled, offering versatility in culinary applications.",Calories: 44,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 10 grams,Sugar: 4 grams,Fiber: 2 grams
21,orange,300,300,1,"Orange is a citrus fruit known for its bright orange color, tangy flavor, and juiciness. It is a popular fruit enjoyed fresh, peeled and segmented, or juiced. Oranges are also used as a flavoring agent in various dishes, desserts, and beverages. They are rich in vitamin C and other nutrients, making them a nutritious addition to the diet.",Calories: 62,Fat: 0.2 grams,Protein: 1.2 grams,Carbohydrates: 15.4 grams,Sugar: 12.2 grams,Fiber: 3.1 grams
22,paprika,300,300,1,"Paprika is a ground spice made from dried sweet or hot peppers, commonly used to add color and flavor to dishes. It comes in various varieties, ranging from mild to hot, with flavors ranging from sweet and fruity to smoky and spicy. Paprika is often used as a seasoning in meat rubs, marinades, sauces, and soups, as well as a garnish for deviled eggs and potato dishes.",Calories: 20,Fat: 1 gram,Protein: 1 gram,Carbohydrates: 4 grams,Sugar: 2 grams,Fiber: 2 grams
23,pear,300,300,1,"Pear is a sweet and juicy fruit with a distinctive bell shape and smooth skin. Available in various colors, including green, red, and yellow, pears are prized for their delicate flavor and soft texture. They can be enjoyed fresh as a snack or added to salads, desserts, and baked goods. Pears are also rich in fiber, vitamins, and antioxidants, making them a nutritious choice for promoting digestive health and overall well-being.",Calories: 51,Fat: 0.1 grams,Protein: 0.4 grams,Carbohydrates: 13.8 grams,Sugar: 9.8 grams,Fiber: 3.1 grams
24,peas,300,300,1,"Peas are small, spherical green seeds that are commonly consumed as vegetables. They are a member of the legume family and are prized for their sweet flavor and tender texture. Peas can be eaten fresh, cooked, or dried, and they are used in a variety of dishes, including soups, salads, stir-fries, and side dishes. Peas are also rich in protein, fiber, vitamins, and minerals, making them a nutritious addition to the diet.",Calories: 62,Fat: 0.4 grams,Protein: 4.4 grams,Carbohydrates: 11 grams,Sugar: 4.7 grams,Fiber: 4.6 grams
25,pineapple,300,300,1,"Pineapple is a tropical fruit known for its sweet and tangy flavor, as well as its spiky exterior and juicy yellow flesh. It is commonly eaten fresh, sliced, or juiced, and it is also used in a variety of dishes, including fruit salads, desserts, and savory dishes like grilled pineapple skewers. Pineapple is rich in vitamins, minerals, and enzymes, making it a nutritious and refreshing addition to the diet.",Calories: 50,Fat: 0.1 grams,Protein: 0.5 grams,Carbohydrates: 13.1 grams,Sugar: 9.9 grams,Fiber: 1.4 grams
26,pomegranate,300,300,1,"Pomegranate is a unique fruit with a tough outer skin enclosing numerous juicy arils, each containing a seed surrounded by sweet-tart flesh. Pomegranates are prized for their vibrant red color, refreshing taste, and numerous health benefits. They are commonly eaten fresh as a snack, sprinkled over salads, or juiced. Pomegranate arils are also used in various culinary applications, including sauces, dressings, desserts, and cocktails.",Calories: 83,Fat: 1.2 grams,Protein: 1.7 grams,Carbohydrates: 18.7 grams,Sugar: 13.7 grams,Fiber: 4 grams
27,potato,300,300,1,"Potato is a starchy tuber vegetable prized for its versatility and mild flavor. It comes in various colors, including white, yellow, and purple, and can be prepared in numerous ways, such as boiled, baked, mashed, fried, or roasted. Potatoes are a staple food in many cuisines around the world and are used in a wide range of dishes, including soups, stews, salads, and side dishes.",Calories: 77,Fat: 0.1 grams,Protein: 2 grams,Carbohydrates: 17 grams,Sugar: 0.8 grams,Fiber: 2.2 grams
28,raddish,300,300,1,"Radish is a crunchy root vegetable with a peppery flavor commonly used in salads, sandwiches, and as a garnish. It comes in various colors, shapes, and sizes, including red, white, and black, with some varieties having a milder flavor than others. Radishes are low in calories and rich in nutrients, including vitamin C, fiber, and potassium.",Calories: 16,Fat: 0.1 grams,Protein: 0.7 grams,Carbohydrates: 3.4 grams,Sugar: 1.9 grams,Fiber: 1.6 grams
29,soy beans,300,300,1,"Soybeans are legumes known for their high protein content and versatility in culinary applications. They can be consumed in various forms, including cooked whole, processed into soy products such as tofu, tempeh, and soy milk, or used as a source of oil. Soybeans are a staple food in many cuisines worldwide and are prized for their nutritional value, providing essential amino acids, vitamins, and minerals.",Calories: 173,Fat: 9 grams,Protein: 16 grams,Carbohydrates: 10 grams,Sugar: 3 grams,Fiber: 6 grams
30,spinach,300,300,1,"Spinach is a leafy green vegetable known for its tender texture and mild, slightly sweet flavor. It is commonly used in salads, sandwiches, soups, and cooked dishes such as sautéed spinach or spinach lasagna. Spinach is rich in vitamins, minerals, and antioxidants, making it a nutritious addition to a balanced diet.",Calories: 23,Fat: 0.4 grams,Protein: 3 grams,Carbohydrates: 3.6 grams,Sugar: 0.4 grams,Fiber: 2.2 grams
31,sweetcorn,300,300,1,"Sweetcorn, also known as corn on the cob, is a variety of maize with a high sugar content. It is prized for its sweet flavor and crunchy texture. Sweetcorn is commonly eaten fresh or cooked by boiling, grilling, or steaming. It is also used as an ingredient in various dishes such as salads, soups, and casseroles.",Calories: 86,Fat: 1.2 grams,Protein: 3.3 grams,Carbohydrates: 19 grams,Sugar: 6 grams,Fiber: 2.7 grams
32,sweetpotato,300,300,1,"Sweet potato is a starchy root vegetable known for its sweet flavor and vibrant orange flesh. It is commonly roasted, boiled, mashed, or fried and can be used in both sweet and savory dishes. Sweet potatoes are rich in vitamins, minerals, and antioxidants, making them a nutritious addition to meals.",Calories: 86,Fat: 0.1 grams,Protein: 1.6 grams,Carbohydrates: 20.1 grams,Sugar: 4.2 grams,Fiber: 3 grams
33,tomato,300,300,1,"Tomato is a juicy fruit often used as a vegetable in cooking. It comes in various sizes, shapes, and colors, including red, yellow, and orange. Tomatoes are widely used in salads, sauces, soups, sandwiches, and many other dishes. They are known for their bright flavor and versatility in culinary applications.",Calories: 18,Fat: 0.2 grams,Protein: 0.9 grams,Carbohydrates: 3.9 grams,Sugar: 2.6 grams,Fiber: 1.2 grams
34,turnip,300,300,1,"Turnip is a root vegetable with a crisp texture and a slightly peppery flavor. It is commonly used in both raw and cooked dishes, such as salads, soups, stews, and side dishes. Turnips can be eaten raw, roasted, boiled, mashed, or pickled, providing versatility in culinary applications.",Calories: 28,Fat: 0.1 grams,Protein: 1.1 grams,Carbohydrates: 6.5 grams,Sugar: 3.8 grams,Fiber: 2.3 grams
35,watermelon,300,300,1,"Watermelon is a large, juicy fruit with a sweet, refreshing taste and vibrant red flesh. It is typically enjoyed fresh as a hydrating snack during hot summer months. Watermelon can also be used in salads, smoothies, and desserts. Known for its high water content, watermelon is low in calories and rich in vitamins and antioxidants.",Calories: 30,Fat: 0.2 grams,Protein: 0.6 grams,Carbohydrates: 7.6 grams,Sugar: 6.2 grams,Fiber: 0.4 grams
